ID,Title,URL,Src,Type,Style,Color,Size
3278608178,Barbenheimer Barbie Movie Oppenheimer Shirt,https://printerval.com/barbenheimer-barbie-movie-oppenheimer-shirt-p42786675?internal_source=category-t-shirts,"https://liveview.prtvstatic.com/image/t-shirts-men-heavyweight-t-shirt-1,black,print-2023-06-22+b9d4f8a4-3ce3-44ee-8c29-8bef630e8b0b,2d2d2d.jpeg",Men,Heavyweight T-shirt ,"Black,White,Navy,Red,Charcoal,Sport grey,Light blue,Orange,Royal,Irish Green,Turf Green","S,M,L,XL,2XL,3XL,4XL,5XL"
3278608178,Barbenheimer Barbie Movie Oppenheimer Shirt,https://printerval.com/barbenheimer-barbie-movie-oppenheimer-shirt-p42786675?internal_source=category-t-shirts,"https://liveview.prtvstatic.com/image/t-shirts-men-heavyweight-t-shirt-1,black,print-2023-06-22+b9d4f8a4-3ce3-44ee-8c29-8bef630e8b0b,2d2d2d.jpeg",Men,Classic T-shirt ,"Black,White,Navy,Red,Charcoal,Sport grey,Light blue,Orange,Royal,Irish Green","S,M,L,XL,2XL,3XL,4XL,5XL"
3278607446,Barbenheimer Barbie Movie Oppenheimer Shirt,https://printerval.com/barbenheimer-barbie-movie-oppenheimer-shirt-p42786675?internal_source=category-t-shirts,"https://liveview.prtvstatic.com/image/t-shirts-men-heavyweight-t-shirt-1,black,print-2023-06-22+b9d4f8a4-3ce3-44ee-8c29-8bef630e8b0b,2d2d2d.jpeg",Men,Tri-Blend T-Shirt (Extra Soft),"Vintage Black,Premium Heather,Vintage Navy,Vintage Red,Vintage Royal,Heather White","S,M,L,XL,2XL"
3278607446,Barbenheimer Barbie Movie Oppenheimer Shirt,https://printerval.com/barbenheimer-barbie-movie-oppenheimer-shirt-p42786675?internal_source=category-t-shirts,"https://liveview.prtvstatic.com/image/t-shirts-men-heavyweight-t-shirt-1,black,print-2023-06-22+b9d4f8a4-3ce3-44ee-8c29-8bef630e8b0b,2d2d2d.jpeg",Women,V-neck T-shirt,"Black,White,Navy,Red,Deep Heather,Athletic Heather,True Royal,Heather True Royal,Team Purple","S,M,L,XL"
3278607446,Barbenheimer Barbie Movie Oppenheimer Shirt,https://printerval.com/barbenheimer-barbie-movie-oppenheimer-shirt-p42786675?internal_source=category-t-shirts,"https://liveview.prtvstatic.com/image/t-shirts-men-heavyweight-t-shirt-1,black,print-2023-06-22+b9d4f8a4-3ce3-44ee-8c29-8bef630e8b0b,2d2d2d.jpeg",Women,Ringer T-shirt,"White/Red,Red/Jet Black,White/Jet Black,Navy/Gold,Athletic Heather/Jet Black,Dark Heather Grey/Jet Black,Gold/Royal,Heather Navy/Navy,Heather Royal/Navy","S,M,L,XL,2XL"
3278608022,Barbenheimer Barbie Movie Oppenheimer Shirt,https://printerval.com/barbenheimer-barbie-movie-oppenheimer-shirt-p42786675?internal_source=category-t-shirts,"https://liveview.prtvstatic.com/image/t-shirts-men-heavyweight-t-shirt-1,black,print-2023-06-22+b9d4f8a4-3ce3-44ee-8c29-8bef630e8b0b,2d2d2d.jpeg",Women,Classic T-shirt,"Black,White,Navy,Royal blue,Red,Dark Heather,Purple,Heather Grey,Light blue,Light Pink","S,M,L,XL,2XL"
3278607451,Barbenheimer Barbie Movie Oppenheimer Shirt,https://printerval.com/barbenheimer-barbie-movie-oppenheimer-shirt-p42786675?internal_source=category-t-shirts,"https://liveview.prtvstatic.com/image/t-shirts-men-heavyweight-t-shirt-1,black,print-2023-06-22+b9d4f8a4-3ce3-44ee-8c29-8bef630e8b0b,2d2d2d.jpeg",Women,Tri-Blend T-Shirt (Extra Soft) ,"Vintage Black,Premium Heather,Vintage Navy,Vintage Red,Vintage Royal,Heather White","S,M,L,XL,2XL"
3278607376,Barbenheimer Barbie Movie Oppenheimer Shirt,https://printerval.com/barbenheimer-barbie-movie-oppenheimer-shirt-p42786675?internal_source=category-t-shirts,"https://liveview.prtvstatic.com/image/t-shirts-men-heavyweight-t-shirt-1,black,print-2023-06-22+b9d4f8a4-3ce3-44ee-8c29-8bef630e8b0b,2d2d2d.jpeg",Youth,Heavyweight T-shirt ,"Black,White,Navy,Red,Sport grey,Light blue,Orange,Royal","S,M,L,XL"
3278608041,Barbenheimer Barbie Movie Oppenheimer Shirt,https://printerval.com/barbenheimer-barbie-movie-oppenheimer-shirt-p42786675?internal_source=category-t-shirts,"https://liveview.prtvstatic.com/image/t-shirts-men-heavyweight-t-shirt-1,black,print-2023-06-22+b9d4f8a4-3ce3-44ee-8c29-8bef630e8b0b,2d2d2d.jpeg",Kids,Kids Softstyle Tee ,"Black,White,Navy,Red,Purple,Light Pink,Royal,Irish Green","XS,S,M,L,XL"
3278608041,Barbenheimer Barbie Movie Oppenheimer Shirt,https://printerval.com/barbenheimer-barbie-movie-oppenheimer-shirt-p42786675?internal_source=category-t-shirts,"https://liveview.prtvstatic.com/image/t-shirts-men-heavyweight-t-shirt-1,black,print-2023-06-22+b9d4f8a4-3ce3-44ee-8c29-8bef630e8b0b,2d2d2d.jpeg",Kids,Kids Long Sleeve,"Black,White,Navy,Red,Heather Grey,Light blue,Pink,Royal","4T,2T,3T,5-6T"
3278608041,Barbenheimer Barbie Movie Oppenheimer Shirt,https://printerval.com/barbenheimer-barbie-movie-oppenheimer-shirt-p42786675?internal_source=category-t-shirts,"https://liveview.prtvstatic.com/image/t-shirts-men-heavyweight-t-shirt-1,black,print-2023-06-22+b9d4f8a4-3ce3-44ee-8c29-8bef630e8b0b,2d2d2d.jpeg",Kids,Kids Pullover Hoodie,"Black,White,Navy,Red,Purple,Orange,Pink,Kelly,Royal,Turquoise,Raspberry,Heather","4T,2T,5-6T"
3278608156,Barbenheimer Barbie Movie Oppenheimer Shirt,https://printerval.com/barbenheimer-barbie-movie-oppenheimer-shirt-p42786675?internal_source=category-t-shirts,"https://liveview.prtvstatic.com/image/t-shirts-men-heavyweight-t-shirt-1,black,print-2023-06-22+b9d4f8a4-3ce3-44ee-8c29-8bef630e8b0b,2d2d2d.jpeg",Kids,Baby Onesie,"Black,White,Navy,Charcoal,Light blue,Pink,Heather,Butter","12M,18M,24M,NB (0-3M),6M"
2133093924,1.50 Costco Hot Dog & Soda Combo T-Shirt,https://printerval.com/1-50-costco-hot-dog-soda-combo-t-shirt-p41345330?internal_source=category-t-shirts,"https://liveview.prtvstatic.com/image/double-sided-t-shirts-men-heavyweight-t-shirt-1,black,print-2023-08-01+041ae616-2d59-415c-9220-6626f6a4eccb:print-2023-08-01+a505ee3e-9fc3-43ca-85bb-36cb54d1d8b4,2d2d2d.jpeg",Men,V-neck T-shirt ,"Black,White,Navy,Red,Deep Heather,Athletic Heather,True Royal,Heather True Royal,Team Purple","S,M,L,XL,2XL"
2133093924,1.50 Costco Hot Dog & Soda Combo T-Shirt,https://printerval.com/1-50-costco-hot-dog-soda-combo-t-shirt-p41345330?internal_source=category-t-shirts,"https://liveview.prtvstatic.com/image/double-sided-t-shirts-men-heavyweight-t-shirt-1,black,print-2023-08-01+041ae616-2d59-415c-9220-6626f6a4eccb:print-2023-08-01+a505ee3e-9fc3-43ca-85bb-36cb54d1d8b4,2d2d2d.jpeg",Men,Ringer T-shirt,"White/Red,Red/Jet Black,White/Jet Black,Navy/Gold,Athletic Heather/Jet Black,Dark Heather Grey/Jet Black,Gold/Royal,Heather Navy/Navy,Heather Royal/Navy","S,M,L,XL,2XL,3XL,4XL,5XL,6XL"
