ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 4 default,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 5 default,Meta: hwp_product_gtin
12749033_whinging-rissole_FGPQW,variation,12749033_whinging-rissole_FGPQW,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,33.34,20,,,,https://ih1.redbubble.net/image.994491797.9033/icr%2Ciphone_13_pro_tough%2Cback%2Ca%2Cx1000-bg%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Tough Case,,1,,Model,iPhone 13 Pro,,1,
12749033_whinging-rissole_4FKUL,variation,12749033_whinging-rissole_4FKUL,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,33.34,20,,,,https://ih1.redbubble.net/image.994491797.9033/icr%2Ciphone_13_pro_max_tough%2Cback%2Ca%2Cx1000-bg%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Tough Case,,1,,Model,iPhone 13 Pro Max,,1,
12749033_whinging-rissole_C13TS,variation,12749033_whinging-rissole_C13TS,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,33.34,20,,,,https://ih1.redbubble.net/image.994491797.9033/icr%2Ciphone_13_mini_tough%2Cback%2Ca%2Cx1000-bg%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Tough Case,,1,,Model,iPhone 13 mini,,1,
12749033_whinging-rissole_23I0V,variation,12749033_whinging-rissole_23I0V,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,33.34,20,,,,https://ih1.redbubble.net/image.994491797.9033/icr%2Ciphone_12_tough%2Cback%2Ca%2Cx1000-bg%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Tough Case,,1,,Model,iPhone 12,,1,
12749033_whinging-rissole_FR650,variation,12749033_whinging-rissole_FR650,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,33.34,20,,,,https://ih1.redbubble.net/image.994491797.9033/icr%2Ciphone_12_pro_tough%2Cback%2Ca%2Cx1000-bg%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Tough Case,,1,,Model,iPhone 12 Pro,,1,
12749033_whinging-rissole_18UV6,variation,12749033_whinging-rissole_18UV6,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,33.34,20,,,,https://ih1.redbubble.net/image.994491797.9033/icr%2Ciphone_12_pro_max_tough%2Cback%2Ca%2Cx1000-bg%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Tough Case,,1,,Model,iPhone 12 Pro Max,,1,
12749033_whinging-rissole_GZVDL,variation,12749033_whinging-rissole_GZVDL,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,33.34,20,,,,https://ih1.redbubble.net/image.994491797.9033/icr%2Ciphone_12_mini_tough%2Cback%2Ca%2Cx1000-bg%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Tough Case,,1,,Model,iPhone 12 mini,,1,
12749033_whinging-rissole_N0T2R,variation,12749033_whinging-rissole_N0T2R,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,33.34,20,,,,https://ih1.redbubble.net/image.994491797.9033/icr%2Ciphone_11_tough%2Cback%2Ca%2Cx1000-bg%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Tough Case,,1,,Model,iPhone 11,,1,
12749033_whinging-rissole_7X666,variation,12749033_whinging-rissole_7X666,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,33.34,20,,,,https://ih1.redbubble.net/image.994491797.9033/icr%2Ciphone_11_pro_tough%2Cback%2Ca%2Cx1000-bg%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Tough Case,,1,,Model,iPhone 11 Pro,,1,
12749033_whinging-rissole_BK2S8,variation,12749033_whinging-rissole_BK2S8,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,33.34,20,,,,https://ih1.redbubble.net/image.994491797.9033/icr%2Ciphone_11_pro_max_tough%2Cback%2Ca%2Cx1000-bg%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Tough Case,,1,,Model,iPhone 11 Pro Max,,1,
