ID,Title,URL,Price,Src,Type,Style,Color,Size
2130723426,nirvana owen wilson Classic T-Shirt,https://printerval.com/nirvana-owen-wilson-classic-t-shirt-p1232649?internal_source=category-t-shirts,$14.95,"https://liveview.prtvstatic.com/image/t-shirts-men-heavyweight-t-shirt-1,black,print-2022-10-16+36970a14-85a5-404a-8e21-33ec71740ac0,2d2d2d.jpeg, https://liveview.static-printerval.com/image/t-shirts-men-heavyweight-t-shirt-2,black,print-2022-10-16+36970a14-85a5-404a-8e21-33ec71740ac0,2d2d2d.jpeg, https://liveview.static-printerval.com/image/t-shirts-men-heavyweight-t-shirt-3,black,print-2022-10-16+36970a14-85a5-404a-8e21-33ec71740ac0,2d2d2d.jpeg",Men,V-neck T-shirt ,"Black,White,Navy,Red,Deep Heather,Athletic Heather,True Royal,Heather True Royal,Team Purple","S,M,L,XL"
2130723426,nirvana owen wilson Classic T-Shirt,https://printerval.com/nirvana-owen-wilson-classic-t-shirt-p1232649?internal_source=category-t-shirts,$14.95,"https://liveview.prtvstatic.com/image/t-shirts-men-heavyweight-t-shirt-1,black,print-2022-10-16+36970a14-85a5-404a-8e21-33ec71740ac0,2d2d2d.jpeg, https://liveview.static-printerval.com/image/t-shirts-men-heavyweight-t-shirt-2,black,print-2022-10-16+36970a14-85a5-404a-8e21-33ec71740ac0,2d2d2d.jpeg, https://liveview.static-printerval.com/image/t-shirts-men-heavyweight-t-shirt-3,black,print-2022-10-16+36970a14-85a5-404a-8e21-33ec71740ac0,2d2d2d.jpeg",Women,V-neck T-shirt ,"Black,White,Navy,Red,Deep Heather,Athletic Heather,True Royal,Heather True Royal,Team Purple","S,M,L,XL"
2130723426,"Sarcastic Adult T Shirt, This is Not A Drill Tee, Funny T Shirt",https://printerval.com/sarcastic-adult-t-shirt-this-is-not-a-drill-tee-funny-t-shirt-p516?internal_source=category-t-shirts,$14.95,"https://liveview.prtvstatic.com/image/t-shirts-men-heavyweight-t-shirt-1,black,print-2022-10-12+f66e66ea-e734-483e-95d9-6fba1a298606,2d2d2d.jpeg, https://liveview.static-printerval.com/image/t-shirts-men-heavyweight-t-shirt-2,black,print-2022-10-12+f66e66ea-e734-483e-95d9-6fba1a298606,2d2d2d.jpeg, https://liveview.static-printerval.com/image/t-shirts-men-heavyweight-t-shirt-3,black,print-2022-10-12+f66e66ea-e734-483e-95d9-6fba1a298606,2d2d2d.jpeg",Men,V-neck T-shirt ,"Black,White,Navy,Red,Deep Heather,Athletic Heather,True Royal,Heather True Royal,Team Purple","S,M,L,XL"
2130723426,"Sarcastic Adult T Shirt, This is Not A Drill Tee, Funny T Shirt",https://printerval.com/sarcastic-adult-t-shirt-this-is-not-a-drill-tee-funny-t-shirt-p516?internal_source=category-t-shirts,$14.95,"https://liveview.prtvstatic.com/image/t-shirts-men-heavyweight-t-shirt-1,black,print-2022-10-12+f66e66ea-e734-483e-95d9-6fba1a298606,2d2d2d.jpeg, https://liveview.static-printerval.com/image/t-shirts-men-heavyweight-t-shirt-2,black,print-2022-10-12+f66e66ea-e734-483e-95d9-6fba1a298606,2d2d2d.jpeg, https://liveview.static-printerval.com/image/t-shirts-men-heavyweight-t-shirt-3,black,print-2022-10-12+f66e66ea-e734-483e-95d9-6fba1a298606,2d2d2d.jpeg",Women,V-neck T-shirt ,"Black,White,Navy,Red,Deep Heather,Athletic Heather,True Royal,Heather True Royal,Team Purple","S,M,L,XL"
2130723426,Housekeeping Humor Cleaning Squad T Shirt,https://printerval.com/housekeeping-humor-cleaning-squad-t-shirt-p37558?internal_source=category-t-shirts,$14.95,"https://liveview.prtvstatic.com/image/t-shirts-men-heavyweight-t-shirt-1,black,print-2022-10-14+79183d6a-350c-4a0b-9f62-78bb52e3ee84,2d2d2d.jpeg, https://liveview.static-printerval.com/image/t-shirts-men-heavyweight-t-shirt-2,black,print-2022-10-14+79183d6a-350c-4a0b-9f62-78bb52e3ee84,2d2d2d.jpeg, https://liveview.static-printerval.com/image/t-shirts-men-heavyweight-t-shirt-3,black,print-2022-10-14+79183d6a-350c-4a0b-9f62-78bb52e3ee84,2d2d2d.jpeg",Men,V-neck T-shirt ,"Black,White,Navy,Red,Deep Heather,Athletic Heather,True Royal,Heather True Royal,Team Purple","S,M,L,XL"
2130723426,Housekeeping Humor Cleaning Squad T Shirt,https://printerval.com/housekeeping-humor-cleaning-squad-t-shirt-p37558?internal_source=category-t-shirts,$14.95,"https://liveview.prtvstatic.com/image/t-shirts-men-heavyweight-t-shirt-1,black,print-2022-10-14+79183d6a-350c-4a0b-9f62-78bb52e3ee84,2d2d2d.jpeg, https://liveview.static-printerval.com/image/t-shirts-men-heavyweight-t-shirt-2,black,print-2022-10-14+79183d6a-350c-4a0b-9f62-78bb52e3ee84,2d2d2d.jpeg, https://liveview.static-printerval.com/image/t-shirts-men-heavyweight-t-shirt-3,black,print-2022-10-14+79183d6a-350c-4a0b-9f62-78bb52e3ee84,2d2d2d.jpeg",Women,V-neck T-shirt ,"Black,White,Navy,Red,Deep Heather,Athletic Heather,True Royal,Heather True Royal,Team Purple","S,M,L,XL"
2130723426,Vintage Piggly Wiggly - Wiggly - T-Shirt,https://printerval.com/vintage-piggly-wiggly-wiggly-t-shirt-t-shirt24804879-vintage-piggly-wiggly-p611666?internal_source=category-t-shirts,$14.95,"https://liveview.prtvstatic.com/image/t-shirts-men-heavyweight-t-shirt-1,black,print-2022-10-15+3526903e-f50c-4d4d-a69c-dde22d63ad1a,2d2d2d.jpeg, https://liveview.static-printerval.com/image/t-shirts-men-heavyweight-t-shirt-2,black,print-2022-10-15+3526903e-f50c-4d4d-a69c-dde22d63ad1a,2d2d2d.jpeg, https://liveview.static-printerval.com/image/t-shirts-men-heavyweight-t-shirt-3,black,print-2022-10-15+3526903e-f50c-4d4d-a69c-dde22d63ad1a,2d2d2d.jpeg",Men,V-neck T-shirt ,"Black,White,Navy,Red,Deep Heather,Athletic Heather,True Royal,Heather True Royal,Team Purple","S,M,L,XL"
2130723426,Vintage Piggly Wiggly - Wiggly - T-Shirt,https://printerval.com/vintage-piggly-wiggly-wiggly-t-shirt-t-shirt24804879-vintage-piggly-wiggly-p611666?internal_source=category-t-shirts,$14.95,"https://liveview.prtvstatic.com/image/t-shirts-men-heavyweight-t-shirt-1,black,print-2022-10-15+3526903e-f50c-4d4d-a69c-dde22d63ad1a,2d2d2d.jpeg, https://liveview.static-printerval.com/image/t-shirts-men-heavyweight-t-shirt-2,black,print-2022-10-15+3526903e-f50c-4d4d-a69c-dde22d63ad1a,2d2d2d.jpeg, https://liveview.static-printerval.com/image/t-shirts-men-heavyweight-t-shirt-3,black,print-2022-10-15+3526903e-f50c-4d4d-a69c-dde22d63ad1a,2d2d2d.jpeg",Women,V-neck T-shirt ,"Black,White,Navy,Red,Deep Heather,Athletic Heather,True Royal,Heather True Royal,Team Purple","S,M,L,XL"
2130723426,Little Mermaid - Halle Bailey - Black Little Mermaid Tee shirt,https://printerval.com/little-mermaid-halle-bailey-black-little-mermaid-tee-shirt-p40548398?internal_source=category-t-shirts,$14.95,"https://liveview.prtvstatic.com/image/t-shirts-men-heavyweight-t-shirt-1,black,print-2023-04-11+80dee225-a23d-456a-874e-6fd6aaebd585,2d2d2d.jpeg, https://liveview.static-printerval.com/image/t-shirts-men-heavyweight-t-shirt-2,black,print-2023-04-11+80dee225-a23d-456a-874e-6fd6aaebd585,2d2d2d.jpeg, https://liveview.static-printerval.com/image/t-shirts-men-heavyweight-t-shirt-3,black,print-2023-04-11+80dee225-a23d-456a-874e-6fd6aaebd585,2d2d2d.jpeg",Men,V-neck T-shirt ,"Black,White,Navy,Red,Deep Heather,Athletic Heather,True Royal,Heather True Royal,Team Purple","S,M,L,XL"
2130723426,Little Mermaid - Halle Bailey - Black Little Mermaid Tee shirt,https://printerval.com/little-mermaid-halle-bailey-black-little-mermaid-tee-shirt-p40548398?internal_source=category-t-shirts,$14.95,"https://liveview.prtvstatic.com/image/t-shirts-men-heavyweight-t-shirt-1,black,print-2023-04-11+80dee225-a23d-456a-874e-6fd6aaebd585,2d2d2d.jpeg, https://liveview.static-printerval.com/image/t-shirts-men-heavyweight-t-shirt-2,black,print-2023-04-11+80dee225-a23d-456a-874e-6fd6aaebd585,2d2d2d.jpeg, https://liveview.static-printerval.com/image/t-shirts-men-heavyweight-t-shirt-3,black,print-2023-04-11+80dee225-a23d-456a-874e-6fd6aaebd585,2d2d2d.jpeg",Women,V-neck T-shirt ,"Black,White,Navy,Red,Deep Heather,Athletic Heather,True Royal,Heather True Royal,Team Purple","S,M,L,XL"
