ID,Title,URL,Src,Type,Style,Color,Size
,Artistic Gradient Chest Pockets Short Sleeves Casual Shirts,https://www.hawalili.com/products/geometric-casual-summer-polyester-micro-elasticity-commuting-loose-regular-shirt-collar-aloha-shirts-for-men-15228544?variant=3629476,https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2023-03-15/O1CN01H4SkfC1aQtjsrzmPt_-4134413325-0-cib-1678863683524.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2023-03-15/O1CN01U47plT1aQtjxO6C29_-4134413325-0-cib-1678863683490.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2023-03-15/O1CN01RgweCs1aQtjyPzKBm_-4134413325-0-cib-1678863683665.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2023-03-15/O1CN01NLI0hf1aQtjz38mAC_-4134413325-0-cib-1678863683767.jpg,,,Black,"M,L,XL,XXL,3XL,4XL"
,Crack Guitar Chest Pocket Short Sleeve Casual Shirt,https://www.hawalili.com/products/casual-summer-guitar-lightweight-micro-elasticity-daily-short-sleeve-regular-shirt-collar-shirts-for-men-14485896?variant=3269887,https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-11-01/2e11cda7d58e5b46289b646a0dc3cbbb.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2023-02/18/f11efb9517061beff3284aabcceb1504.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-11-01/d6123600a13787ad20b8cb89d887aac9.png https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-11-01/210941e9064bf1a917875511e3edee3b.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/prod/images/eecc7e16d3913540ea0e9e2f3ca6a3f3.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/prod/images/1901ff36e69ac92cef1a5b9ba9f172b5.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/prod/images/71acd40f55c84083009aed066297153f.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/prod/images/850178c809da8a44d950c630f3af2874.jpg,,,Off White,"M,L,XL,XXL,3XL,4XL"
,Mens Solid Casual Button Down Linen Lapel Short Sleeve Shirt With Pocket ,https://www.hawalili.com/products/men-s-lapel-solid-color-short-sleeve-men-s-linen-shirt-13648381?variant=2860146,https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2023-02/08/36b951c5bbd144006acf0832d9d7b8a7.png https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-06-16/f22341ab981572c59e8b576953201768.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-06-16/6cb79ce63db3c6d6311e88edc83a6398.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-06-16/d849d2c0b4b5696c5a820a48a4482ba0.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-06-16/e97180c4b48508f5be36c0b837dc883d.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-06-16/db0663582e80102d920e32f19781a878.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-06-16/cefd429939ca76e812e34fadc941a9d3.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/prod/images/a0aa299d716a167995efa2ebae8666fb.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/prod/images/4f30a05c4bda9deba8dd20c5bc2263f7.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/prod/images/61b378a5d473db5fef3acddd208025b8.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/prod/images/a0d3ded1768a381c6d9f4c307517fcc5.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/prod/images/2023-03-24/0ff94fc0a438c4d2164facb3dc0831dc.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/prod/images/2023-03-24/1f94705a4a9eefd081f3aa9f1f274e20.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/prod/images/2023-03-24/c5f22e626dd39aa863537281546b5090.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/prod/images/2023-03-24/9f1d8a3ea2e58fdfde1a7c84ca02fb1d.jpg,,,"LightBlue,White,Black,Purplish blue,Gray,Army Green,Apricot","M,L,XL,XXL,3XL"
,Cotton Plain Short Sleeve Casual Shirt,https://www.hawalili.com/products/casual-plain-summer-no-elasticity-wicking-loose-short-sleeve-regular-h-line-aloha-shirts-for-men-15060455?variant=3531088,https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2023-02/07/a88ea74ffb1d4bcd38ccf38d8ae4f983.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/prod/images/2023-05-11/6dab41ae223555faad8da6723061df56.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/prod/images/2023-05-11/c61618c90a7d79c4aada062a3877da34.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/prod/images/2023-05-11/20631434614bdb8f97c551358870402b.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/prod/images/2023-05-11/498bfdbda1880ed4ef8c9f0a0a3ccc44.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/prod/images/2023-04-21/fdd9f1c9ad7984e4b1732b9ee4bf4459.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/prod/images/2023-04-21/3d16d19e9476cdeb6b81d74b67c68cd1.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/prod/images/2023-04-21/e68ddfd20499e7783899cb3a258d710f.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/prod/images/2023-04-21/a918d4e1694e2511fb16a810c332e9e9.jpg,,,Blue,"M,L,XL,XXL,3XL,4XL"
,Line Texture Chest Pocket Short Sleeve Casual Shirt,https://www.hawalili.com/products/men-casual-abstract-summer-lightweight-micro-elasticity-vacation-regular-h-line-shirt-collar-shirts-14485926?variant=3270163,https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-11-02/O1CN01eW33cR1aQthxrYJEu_-4134413325-0-cib-1667371562806.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-11-02/O1CN01b6mORr1aQti30fEUr_-4134413325-0-cib-1667371562305.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-11-02/O1CN015nQALu1aQti0y0B4c_-4134413325-0-cib-1667371562557.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-11-02/O1CN015saWOS1aQthxrcCPy_-4134413325-0-cib-1667371562847.jpg,,,Gray,"M,L,XL,XXL,3XL,4XL"
,Geometric Colorblock Chest Pocket Short Sleeve Shirt,https://www.hawalili.com/products/geometric-casual-summer-polyester-lightweight-daily-short-sleeve-regular-shirt-collar-shirts-for-men-14861494?variant=3463871,https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-12-21/O1CN01aRGEEk1XlYk37W0gS_-2200729362964-0-cib-1671594160644.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-12-21/O1CN01Nw7Jqd1XlYk76P8a7_-2200729362964-0-cib-1671594160974.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-12-21/O1CN01fADN621XlYjtyFMhy_-2200729362964-0-cib-1671594160970.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-12-21/O1CN01QYHcsy1XlYk6J8v8E_-2200729362964-0-cib-1671594160578.jpg,,,Blue,"M,L,XL,XXL,3XL,4XL"
,Hippie Chest Pocket Short Sleeve Hawaiian Shirt,https://www.hawalili.com/products/men-striped-casual-summer-polyester-daily-regular-fit-short-sleeve-regular-shirt-collar-shirts-14329643?variant=3172075,https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-09-16/O1CN01mlCctl1aQthMLG3YN_-4134413325-0-cib-1663297796766.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-09-16/O1CN01zmFc1b1aQthP3O5aM_-4134413325-0-cib-1663297796354.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-09-16/O1CN01lU5yFZ1aQthRjcAWX_-4134413325-0-cib-1663297796686.jpg,,,Red,"M,L,XL,XXL,3XL,4XL"
,Coconut Tree Chest Pocket Short Sleeve Resort Shirt,https://www.hawalili.com/products/men-summer-tropical-vacation-polyester-natural-no-elasticity-short-sleeve-regular-regular-aloha-shirts-15060438?variant=3530980,https://www.hawalili.com/image_cache/resize/670x890/image/catalog/prod/images/2023-03-31/1acdebd185c68e135f68ffd84e5b3c3d.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/prod/images/2023-03-31/e7d78444392b5c9c737a76415daa152a.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/prod/images/2023-03-31/84b7dea6fe689d22f5273473f04b64d3.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/prod/images/2023-03-31/e524e4de8ce88dc7dfb8f19a68c1d770.jpg,,,Yellow,"M,L,XL,XXL,3XL,4XL"
,Coconut Tree Print Vacation Bermuda,https://www.hawalili.com/products/men-casual-all-season-coconut-tree-no-elasticity-holiday-loose-cotton-h-line-regular-pants-15059917?variant=3529896,https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2023-02/09/b695fd3bc6a78cba22cea36e68f988b0.png https://www.hawalili.com/image_cache/resize/670x890/image/catalog/prod/images/2023-05-31/eb472430a10cd93392baa680987ec5b6.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/prod/images/2023-05-31/a2af335b0e6ef6831cb51b6609da8a94.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/prod/images/2023-05-31/41d4237469d4527d7a5f2c03e4fbae25.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/prod/images/2023-05-31/52a2be068d2e2e45850155405b32f2d7.jpg,,,Khaki,"M,L,XL,XXL,3XL"
,Cotton And Linen Holiday Leisure Short-sleeved Shirt,https://www.hawalili.com/products/cotton-and-linen-holiday-leisure-short-sleeved-shirt-13614664?variant=2841324,https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-05-17/6ee0c3843f343b95f8b3cb7076897005.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-05-17/e7fde9e2e8a8dbbd3d248587ca3322e4.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-05-17/e7d32e51441b8c2f403464c6e7befb1e.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-05-17/bb079770de3ecd4ff6229aef6225dc76.jpg,,,As Picture,"M,L,XL,XXL,3XL,4XL"
